;Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
;Walmart;1197831;8/12/20;South;Texas;Houston;Men's Street Footwear;R$30,00 ;925;R$277.500 ;R$97.125 ;35%;Outlet
;Walmart;1197831;8/13/20;South;Texas;Houston;Men's Athletic Footwear;R$40,00 ;925;R$370.000 ;R$129.500 ;35%;Outlet
;Walmart;1197831;8/14/20;South;Texas;Houston;Women's Street Footwear;R$35,00 ;775;R$271.250 ;R$94.938 ;35%;Outlet
;Walmart;1197831;8/15/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;700;R$280.000 ;R$126.000 ;45%;Outlet
;Walmart;1197831;8/16/20;South;Texas;Houston;Men's Apparel;R$45,00 ;600;R$270.000 ;R$81.000 ;30%;Outlet
;Walmart;1197831;8/17/20;South;Texas;Houston;Women's Apparel;R$40,00 ;950;R$380.000 ;R$190.000 ;50%;Outlet
;Walmart;1197831;8/18/20;South;Texas;Houston;Men's Street Footwear;R$40,00 ;950;R$380.000 ;R$133.000 ;35%;Outlet
;Walmart;1197831;8/19/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;950;R$427.500 ;R$149.625 ;35%;Outlet
;Walmart;1197831;8/20/20;South;Texas;Houston;Women's Street Footwear;R$40,00 ;800;R$320.000 ;R$112.000 ;35%;Outlet
;Walmart;1197831;8/21/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;750;R$300.000 ;R$135.000 ;45%;Outlet
;Walmart;1197831;8/22/20;South;Texas;Houston;Men's Apparel;R$45,00 ;650;R$292.500 ;R$87.750 ;30%;Outlet
;Walmart;1197831;8/23/20;South;Texas;Houston;Women's Apparel;R$50,00 ;1.000;R$500.000 ;R$250.000 ;50%;Outlet
;Walmart;1197831;8/24/20;South;Texas;Houston;Men's Street Footwear;R$40,00 ;950;R$380.000 ;R$133.000 ;35%;Outlet
;Walmart;1197831;8/25/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;950;R$427.500 ;R$149.625 ;35%;Outlet
;Walmart;1197831;8/26/20;South;Texas;Houston;Women's Street Footwear;R$40,00 ;1.100;R$440.000 ;R$154.000 ;35%;Outlet
;Walmart;1197831;8/27/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;700;R$280.000 ;R$126.000 ;45%;Outlet
;Walmart;1197831;8/28/20;South;Texas;Houston;Men's Apparel;R$45,00 ;700;R$315.000 ;R$94.500 ;30%;Outlet
;Walmart;1197831;8/29/20;South;Texas;Houston;Women's Apparel;R$50,00 ;975;R$487.500 ;R$243.750 ;50%;Outlet
;Walmart;1197831;8/30/20;South;Texas;Houston;Men's Street Footwear;R$40,00 ;925;R$370.000 ;R$129.500 ;35%;Outlet
;Walmart;1197831;8/31/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;925;R$416.250 ;R$145.688 ;35%;Outlet
;Walmart;1197831;9/1/20;South;Texas;Houston;Women's Street Footwear;R$40,00 ;1.100;R$440.000 ;R$154.000 ;35%;Outlet
;Walmart;1197831;9/2/20;South;Texas;Houston;Women's Athletic Footwear;R$40,00 ;650;R$260.000 ;R$117.000 ;45%;Outlet
;Walmart;1197831;9/3/20;South;Texas;Houston;Men's Apparel;R$45,00 ;650;R$292.500 ;R$87.750 ;30%;Outlet
;Walmart;1197831;9/4/20;South;Texas;Houston;Women's Apparel;R$50,00 ;900;R$450.000 ;R$225.000 ;50%;Outlet
;Walmart;1197831;9/5/20;South;Texas;Houston;Men's Street Footwear;R$45,00 ;850;R$382.500 ;R$133.875 ;35%;Outlet
;Walmart;1197831;9/6/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;850;R$382.500 ;R$133.875 ;35%;Outlet
;Walmart;1197831;9/7/20;South;Texas;Houston;Women's Street Footwear;R$50,00 ;900;R$450.000 ;R$157.500 ;35%;Outlet
;Walmart;1197831;9/8/20;South;Texas;Houston;Women's Athletic Footwear;R$50,00 ;625;R$312.500 ;R$140.625 ;45%;Outlet
;Walmart;1197831;9/9/20;South;Texas;Houston;Men's Apparel;R$45,00 ;625;R$281.250 ;R$84.375 ;30%;Outlet
;Walmart;1197831;9/10/20;South;Texas;Houston;Women's Apparel;R$55,00 ;850;R$467.500 ;R$233.750 ;50%;Outlet
;Walmart;1197831;9/11/20;South;Texas;Houston;Men's Street Footwear;R$45,00 ;800;R$360.000 ;R$126.000 ;35%;Outlet
;Walmart;1197831;9/12/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;800;R$360.000 ;R$126.000 ;35%;Outlet
;Walmart;1197831;9/13/20;South;Texas;Houston;Women's Street Footwear;R$50,00 ;750;R$375.000 ;R$131.250 ;35%;Outlet
;Walmart;1197831;9/14/20;South;Texas;Houston;Women's Athletic Footwear;R$50,00 ;600;R$300.000 ;R$135.000 ;45%;Outlet
;Walmart;1197831;9/15/20;South;Texas;Houston;Men's Apparel;R$45,00 ;575;R$258.750 ;R$77.625 ;30%;Outlet
;Walmart;1197831;9/16/20;South;Texas;Houston;Women's Apparel;R$55,00 ;750;R$412.500 ;R$206.250 ;50%;Outlet
;Walmart;1197831;10/20/20;South;Texas;Houston;Men's Street Footwear;R$45,00 ;900;R$405.000 ;R$141.750 ;35%;Outlet
;Walmart;1197831;10/21/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;900;R$405.000 ;R$141.750 ;35%;Outlet
;Walmart;1197831;10/22/20;South;Texas;Houston;Women's Street Footwear;R$50,00 ;825;R$412.500 ;R$144.375 ;35%;Outlet
;Walmart;1197831;10/23/20;South;Texas;Houston;Women's Athletic Footwear;R$50,00 ;675;R$337.500 ;R$151.875 ;45%;Outlet
;Walmart;1197831;10/24/20;South;Texas;Houston;Men's Apparel;R$45,00 ;650;R$292.500 ;R$87.750 ;30%;Outlet
;Walmart;1197831;10/25/20;South;Texas;Houston;Women's Apparel;R$55,00 ;850;R$467.500 ;R$233.750 ;50%;Outlet
;Walmart;1197831;10/26/20;South;Texas;Houston;Men's Street Footwear;R$45,00 ;950;R$427.500 ;R$149.625 ;35%;Outlet
;Walmart;1197831;10/27/20;South;Texas;Houston;Men's Athletic Footwear;R$45,00 ;950;R$427.500 ;R$149.625 ;35%;Outlet
;Walmart;1197831;10/28/20;South;Texas;Houston;Women's Street Footwear;R$50,00 ;850;R$425.000 ;R$148.750 ;35%;Outlet
;Walmart;1197831;10/29/20;South;Texas;Houston;Women's Athletic Footwear;R$50,00 ;700;R$350.000 ;R$157.500 ;45%;Outlet
;Walmart;1197831;10/30/20;South;Texas;Houston;Men's Apparel;R$45,00 ;650;R$292.500 ;R$87.750 ;30%;Outlet
;Walmart;1197831;10/31/20;South;Texas;Houston;Women's Apparel;R$55,00 ;900;R$495.000 ;R$247.500 ;50%;Outlet
;West Gear;1128299;11/1/20;South;Texas;Houston;Men's Street Footwear;R$40,00 ;775;R$310.000 ;R$108.500 ;35%;Outlet
;West Gear;1128299;11/2/20;South;Texas;Houston;Men's Athletic Footwear;R$50,00 ;775;R$387.500 ;R$77.500 ;20%;Outlet
;West Gear;1128299;11/3/20;South;Texas;Houston;Women's Street Footwear;R$50,00 ;775;R$387.500 ;R$135.625 ;35%;Outlet
;West Gear;1128299;11/4/20;South;Texas;Houston;Women's Athletic Footwear;R$50,00 ;625;R$312.500 ;R$93.750 ;30%;Outlet
;West Gear;1128299;11/5/20;West;California;San Francisco;Men's Apparel;R$55,00 ;575;R$316.250 ;R$158.125 ;50%;Outlet
;West Gear;1128299;11/6/20;West;California;San Francisco;Women's Apparel;R$50,00 ;775;R$387.500 ;R$58.125 ;15%;Outlet
;West Gear;1128299;11/7/20;West;California;San Francisco;Men's Street Footwear;R$40,00 ;825;R$330.000 ;R$115.500 ;35%;Outlet
;West Gear;1128299;11/8/20;West;California;San Francisco;Men's Athletic Footwear;R$50,00 ;725;R$362.500 ;R$72.500 ;20%;Outlet
;West Gear;1128299;11/9/20;West;California;San Francisco;Women's Street Footwear;R$50,00 ;725;R$362.500 ;R$126.875 ;35%;Outlet
;West Gear;1128299;11/10/20;West;California;San Francisco;Women's Athletic Footwear;R$50,00 ;575;R$287.500 ;R$86.250 ;30%;Outlet
;West Gear;1128299;11/11/20;West;California;San Francisco;Men's Apparel;R$55,00 ;500;R$275.000 ;R$137.500 ;50%;Outlet
;West Gear;1128299;11/12/20;West;California;San Francisco;Women's Apparel;R$50,00 ;700;R$350.000 ;R$52.500 ;15%;Outlet
;West Gear;1128299;11/13/20;West;California;San Francisco;Men's Street Footwear;R$50,00 ;850;R$425.000 ;R$148.750 ;35%;Outlet
;West Gear;1128299;11/14/20;West;California;San Francisco;Men's Athletic Footwear;R$60,00 ;700;R$420.000 ;R$84.000 ;20%;Outlet
;West Gear;1128299;11/15/20;West;California;San Francisco;Women's Street Footwear;R$60,00 ;700;R$420.000 ;R$147.000 ;35%;Outlet
;West Gear;1128299;12/22/20;West;California;San Francisco;Women's Athletic Footwear;R$60,00 ;600;R$360.000 ;R$108.000 ;30%;Outlet
;West Gear;1128299;12/23/20;West;California;San Francisco;Men's Apparel;R$65,00 ;500;R$325.000 ;R$162.500 ;50%;Outlet
;West Gear;1128299;12/24/20;West;California;San Francisco;Women's Apparel;R$60,00 ;700;R$420.000 ;R$63.000 ;15%;Outlet
;West Gear;1128299;12/25/20;West;California;San Francisco;Men's Street Footwear;R$60,00 ;875;R$525.000 ;R$183.750 ;35%;Outlet
;West Gear;1128299;12/26/20;West;California;San Francisco;Men's Athletic Footwear;R$65,00 ;675;R$438.750 ;R$87.750 ;20%;Outlet
;West Gear;1128299;12/27/20;West;California;San Francisco;Women's Street Footwear;R$65,00 ;725;R$471.250 ;R$164.938 ;35%;Outlet
;West Gear;1128299;12/28/20;West;California;San Francisco;Women's Athletic Footwear;R$60,00 ;625;R$375.000 ;R$112.500 ;30%;Outlet
;West Gear;1128299;12/29/20;West;California;San Francisco;Men's Apparel;R$65,00 ;525;R$341.250 ;R$170.625 ;50%;Outlet
;West Gear;1128299;12/30/20;West;California;San Francisco;Women's Apparel;R$80,00 ;700;R$560.000 ;R$84.000 ;15%;Outlet
;West Gear;1128299;12/31/20;West;California;San Francisco;Men's Street Footwear;R$60,00 ;900;R$540.000 ;R$216.000 ;40%;Outlet
;West Gear;1128299;1/1/21;West;California;San Francisco;Men's Athletic Footwear;R$65,00 ;750;R$487.500 ;R$121.875 ;25%;Outlet
;West Gear;1128299;1/2/21;West;California;San Francisco;Women's Street Footwear;R$65,00 ;750;R$487.500 ;R$195.000 ;40%;Outlet
;West Gear;1128299;1/3/21;West;California;San Francisco;Women's Athletic Footwear;R$60,00 ;650;R$390.000 ;R$136.500 ;35%;Outlet
;West Gear;1128299;1/4/21;West;California;San Francisco;Men's Apparel;R$65,00 ;550;R$357.500 ;R$196.625 ;55%;Outlet
;West Gear;1128299;1/5/21;West;California;San Francisco;Women's Apparel;R$80,00 ;725;R$580.000 ;R$116.000 ;20%;Outlet
;West Gear;1128299;1/6/21;West;California;San Francisco;Men's Street Footwear;R$60,00 ;975;R$585.000 ;R$234.000 ;40%;Outlet
;West Gear;1128299;1/7/21;West;California;San Francisco;Men's Athletic Footwear;R$65,00 ;825;R$536.250 ;R$134.063 ;25%;Outlet
;West Gear;1128299;1/8/21;West;California;San Francisco;Women's Street Footwear;R$65,00 ;825;R$536.250 ;R$214.500 ;40%;Outlet
;West Gear;1128299;1/9/21;West;California;San Francisco;Women's Athletic Footwear;R$60,00 ;700;R$420.000 ;R$147.000 ;35%;Outlet
;West Gear;1128299;1/10/21;West;California;San Francisco;Men's Apparel;R$65,00 ;575;R$373.750 ;R$205.563 ;55%;Outlet
;West Gear;1128299;1/11/21;West;California;San Francisco;Women's Apparel;R$80,00 ;875;R$700.000 ;R$140.000 ;20%;Outlet
;West Gear;1128299;1/12/21;West;California;San Francisco;Men's Street Footwear;R$60,00 ;1.025;R$615.000 ;R$215.250 ;35%;Outlet
;West Gear;1128299;1/13/21;West;California;San Francisco;Men's Athletic Footwear;R$65,00 ;875;R$568.750 ;R$113.750 ;20%;Outlet
;West Gear;1128299;1/14/21;West;California;San Francisco;Women's Street Footwear;R$65,00 ;825;R$536.250 ;R$187.688 ;35%;Outlet
;West Gear;1128299;1/15/21;West;California;San Francisco;Women's Athletic Footwear;R$60,00 ;725;R$435.000 ;R$130.500 ;30%;Outlet
;West Gear;1128299;1/16/21;West;California;San Francisco;Men's Apparel;R$65,00 ;775;R$503.750 ;R$251.875 ;50%;Outlet
;West Gear;1128299;1/17/21;West;California;San Francisco;Women's Apparel;R$80,00 ;775;R$620.000 ;R$93.000 ;15%;Outlet
;West Gear;1128299;1/18/21;West;California;San Francisco;Men's Street Footwear;R$65,00 ;975;R$633.750 ;R$221.813 ;35%;Outlet
;West Gear;1128299;1/19/21;West;California;San Francisco;Men's Athletic Footwear;R$70,00 ;925;R$647.500 ;R$129.500 ;20%;Outlet
;West Gear;1128299;1/20/21;West;California;San Francisco;Women's Street Footwear;R$65,00 ;800;R$520.000 ;R$182.000 ;35%;Outlet
;West Gear;1128299;1/21/21;West;California;San Francisco;Women's Athletic Footwear;R$65,00 ;750;R$487.500 ;R$146.250 ;30%;Outlet
;West Gear;1128299;1/22/21;West;California;San Francisco;Men's Apparel;R$75,00 ;750;R$562.500 ;R$281.250 ;50%;Outlet
;West Gear;1128299;1/23/21;West;California;San Francisco;Women's Apparel;R$80,00 ;725;R$580.000 ;R$87.000 ;15%;Outlet
;West Gear;1128299;1/24/21;West;California;San Francisco;Men's Street Footwear;R$55,00 ;925;R$508.750 ;R$152.625 ;30%;Outlet
;West Gear;1128299;1/25/21;West;California;San Francisco;Men's Athletic Footwear;R$60,00 ;925;R$555.000 ;R$83.250 ;15%;Outlet
;West Gear;1128299;1/26/21;West;California;San Francisco;Women's Street Footwear;R$55,00 ;775;R$426.250 ;R$127.875 ;30%;Outlet
;West Gear;1128299;1/27/21;West;California;San Francisco;Women's Athletic Footwear;R$55,00 ;725;R$398.750 ;R$99.688 ;25%;Outlet
;West Gear;1128299;1/28/21;West;California;San Francisco;Men's Apparel;R$65,00 ;725;R$471.250 ;R$212.063 ;45%;Outlet
;West Gear;1128299;1/29/21;West;California;San Francisco;Women's Apparel;R$70,00 ;775;R$542.500 ;R$54.250 ;10%;Outlet
